Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-02-13,1.6563059091567993,1.6563059091567993,1.6563059091567993,1.6563059091567993,0,0.0,0.0
2008-02-14,1.6563059091567993,1.6563059091567993,1.6563059091567993,1.6563059091567993,0,0.0,0.0
2008-02-15,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,900,0.0,0.0
2008-02-19,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,9900,0.0,0.0
2008-02-20,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-02-21,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-02-22,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-02-25,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,900,0.0,0.0
2008-02-26,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-02-27,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-02-28,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-02-29,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,900,0.0,0.0
2008-03-03,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-04,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,1800,0.0,0.0
2008-03-05,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-06,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-07,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-10,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-11,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-12,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-13,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,9900,0.0,0.0
2008-03-14,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-17,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-18,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-19,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-20,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-24,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-25,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-26,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,3600,0.0,0.0
2008-03-27,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-28,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-03-31,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-01,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,900,0.0,0.0
2008-04-02,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-03,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-04,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-07,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-08,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-09,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-10,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-11,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-14,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-15,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-16,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-17,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-18,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-21,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-22,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-23,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-24,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-25,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-28,2.484459638595581,2.484459638595581,2.484459638595581,2.484459638595581,0,0.0,0.0
2008-04-29,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.216667,0.0
2008-04-30,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-01,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-02,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-05,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-06,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-07,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-08,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-09,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-12,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-13,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-14,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-15,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-16,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-19,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-20,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-21,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-22,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-23,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-27,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-28,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-29,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-05-30,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-02,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-03,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-04,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-05,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-06,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-09,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-10,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-11,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-12,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-13,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-16,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-17,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-18,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-19,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-20,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-23,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-24,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-25,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-26,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-27,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-06-30,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-01,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-02,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-03,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-07,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-08,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-09,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-10,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-11,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-14,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-15,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-16,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-17,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-18,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-21,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-22,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-23,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-24,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-25,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-28,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-29,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-30,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-07-31,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-01,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-04,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-05,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-06,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-07,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-08,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-11,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-12,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-13,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-14,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-15,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-18,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-19,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-20,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-21,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-22,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-25,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-26,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-27,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-28,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-08-29,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-02,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-03,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-04,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-05,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-08,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-09,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-10,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-11,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-12,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-15,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-16,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-17,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-18,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-19,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-22,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-23,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-24,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-25,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-26,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-29,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-09-30,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-01,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-02,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-03,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-06,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-07,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-08,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-09,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-10,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-13,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-14,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-15,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-16,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-17,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-20,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-21,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-22,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-23,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-24,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-27,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-28,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-29,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-30,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-10-31,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-03,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-04,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-05,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-06,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-07,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-10,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-11,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-12,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-13,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-14,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-17,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-18,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-19,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-20,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-21,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-24,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-25,2.524481773376465,2.524481773376465,2.524481773376465,2.524481773376465,0,0.0,0.0
2008-11-26,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,3.0
2008-11-28,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-01,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-02,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-03,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-04,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-05,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-08,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-09,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-10,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-11,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-12,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-15,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-16,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-17,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-18,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-19,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-22,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-23,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-24,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-26,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-29,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-30,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2008-12-31,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-02,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-05,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-06,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-07,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-08,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-09,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-12,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-13,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-14,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-15,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-16,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-20,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-21,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-22,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-23,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-26,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-27,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-28,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-29,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-01-30,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-02,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-03,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-04,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-05,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-06,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-09,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-10,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-11,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-12,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-13,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-17,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-18,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-19,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-20,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-23,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-24,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-25,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-26,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-02-27,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-02,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-03,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-04,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-05,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-06,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-09,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-10,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-11,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-12,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-13,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-16,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-17,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-18,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-19,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
2009-03-20,2.4936952590942383,2.4936952590942383,2.4936952590942383,2.4936952590942383,0,0.0,0.0
