Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-07-28,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-07-29,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-07-30,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-02,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-03,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-04,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-05,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-06,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-09,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-10,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-11,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-12,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-13,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-16,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-17,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-18,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-19,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-20,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-23,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-24,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-25,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-26,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-27,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-30,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-08-31,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-01,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-02,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-03,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-06,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-07,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-08,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-09,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-10,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-13,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-14,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-15,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-16,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-17,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-20,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-21,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-22,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-23,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-24,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-27,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-28,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-29,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-09-30,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-01,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-04,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-05,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-06,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-07,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-08,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-11,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-12,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-13,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-14,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-15,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-18,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-19,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-20,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-21,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-22,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-25,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-26,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-27,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-28,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0,0.0,0.0
2004-10-29,0.0016750768991187215,0.0016750768991187215,0.0016750768991187215,0.0016750768991187215,100479000,0.0,0.0
2004-11-01,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,50239500,0.0,0.0
2004-11-03,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-04,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-05,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-08,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-09,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-10,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-11,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-12,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-15,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-16,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-17,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-18,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-19,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-22,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-23,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-24,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-25,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-26,0.001954536885023117,0.001954536885023117,0.001954536885023117,0.001954536885023117,0,0.0,0.0
2004-11-29,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,0.0022334358654916286,50239500,0.0,0.0
2004-11-30,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,50239500,0.0,0.0
2004-12-01,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-02,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-03,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-06,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-07,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-08,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-09,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-10,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-13,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-14,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-15,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-16,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-17,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-20,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-21,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-22,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-23,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-24,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-27,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-28,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-29,0.002345107961446047,0.002345107961446047,0.002345107961446047,0.002345107961446047,0,0.0,0.0
2004-12-30,0.0017311935080215335,0.0017311935080215335,0.0017311935080215335,0.0017311935080215335,150718500,0.0,0.0
2004-12-31,0.0017311935080215335,0.0017311935080215335,0.0017311935080215335,0.0017311935080215335,0,0.0,0.0
2005-01-03,0.0017311935080215335,0.0017311935080215335,0.0017311935080215335,0.0017311935080215335,0,0.0,0.0
2005-01-04,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,150718500,0.0,0.0
2005-01-05,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-06,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-07,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-10,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-11,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-12,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-13,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-14,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-17,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-18,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-19,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-20,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-21,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-24,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-26,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-27,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-28,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-01-31,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-01,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-02,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-03,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-04,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-09,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-10,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-11,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-14,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-15,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-16,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-17,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-18,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-21,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-22,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-23,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-24,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-25,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-02-28,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-03-01,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-03-02,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-03-03,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-03-04,0.002222773851826787,0.002222773851826787,0.002222773851826787,0.002222773851826787,0,0.0,0.0
2005-03-07,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,50239500,0.0,0.0
2005-03-08,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-09,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-10,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-11,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-14,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-15,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-16,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-17,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-18,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-21,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-22,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-23,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-24,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-28,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-29,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-30,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-03-31,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-01,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-04,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-05,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-06,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-07,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-08,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-11,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-12,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-13,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-14,0.002010093070566654,0.002010093070566654,0.002010093070566654,0.002010093070566654,0,0.0,0.0
2005-04-15,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,1507185000,0.0,0.0
2005-04-18,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-19,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-20,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-22,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-25,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-26,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-27,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-28,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-04-29,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-02,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-03,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-04,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-05,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-06,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-09,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-10,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-11,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-12,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-13,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-16,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-17,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-18,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-19,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-20,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0.0013512849109247327,0,0.0,0.0
2005-05-23,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,100479000,0.0,0.0
2005-05-24,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-05-25,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-05-27,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-05-30,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-05-31,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-01,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-02,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-03,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-06,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-07,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-08,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-09,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0.0013737318804487586,0,0.0,0.0
2005-06-10,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,502395000,0.0,0.0
2005-06-13,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,502395000,0.0,0.0
2005-06-14,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-15,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-16,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,100479000,0.0,0.0
2005-06-17,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-20,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-21,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-22,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-23,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-24,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-27,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-28,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-29,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-06-30,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-01,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-04,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-05,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-06,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-07,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-08,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-11,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-12,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-13,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-14,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-15,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-18,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-19,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-20,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-21,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-22,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-25,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-26,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
2005-07-27,0.001563405734486878,0.001563405734486878,0.001563405734486878,0.001563405734486878,0,0.0,0.0
